ID,name,price,lon,lat
1,"11 Imperial Dr Albany, NY",464000 ,-73.7567260 ,42.6995591 
3,"34 Andriana Ln North Albany - Shaker Park, Albany, NY",293039 ,-73.7460591 ,42.6762668 
4,"188 W Lawrence St Pine Hills, Albany, NY",296000 ,-73.7897494 ,42.6666375 
5,"685 Park Ave Pine Hills, Albany, NY",120000 ,-73.7858307 ,42.6593076 
6,"508 Greenwich Dr Dunes, Albany, NY",125000 ,-73.8595140 ,42.6977390 
7,"120 S Lake Ave Park South, Albany, NY",167000 ,-73.7786326 ,42.6564605 
8,"18 Matilda St Delaware Avenue, Albany, NY",128500 ,-73.7871889 ,42.6420302 
9,"200 Homestead Ave Upper Washington Avenue, Albany, NY",169900 ,-73.7918643 ,42.6751973 
10,"49 Pinewood Ave Helderberg, Albany, NY",189900 ,-73.7942638 ,42.6519336 
11,"103 Green St #2 Pastures, Albany, NY",72000 ,-89.0901339 ,36.9691063 
13,"436 Elk St West Hill, Albany, NY",24000 ,-73.7715028 ,42.6655096 
14,"308 Hudson Ave Center Square, Albany, NY",300000 ,-73.7649271 ,42.6527859 
16,"57 Wolfert Ave Albany, NY",225000 ,-73.7419883 ,42.6796470 
17,"26 Cramond St Albany, NY",140896 ,-73.8005763 ,42.6930841 
18,"281 Sheridan Ave Sheridan Hollow, Albany, NY",5000 ,-73.7624346 ,42.6598316 
19,"516 Washington Ave Pine Hills, Albany, NY",99750 ,-73.7752332 ,42.6633837 
20,"524 Hamilton St Pine Hills, Albany, NY",124500 ,-73.7825179 ,42.6619454 
21,"859 Myrtle Ave Pine Hills, Albany, NY",157900 ,-73.7914242 ,42.6636193 
23,"480 Livingston Ave West Hill, Albany, NY",34900 ,-73.7662310 ,42.6677370 
24,"196 Shaker Rd Bishop's Gate, Albany, NY",325000 ,-73.7574109 ,42.6785202 
25,"25 Westford St Buckingham Lake - Crestwood, Albany, NY",159900 ,-73.8112659 ,42.6538847 
26,"357 Whitehall Rd Whitehall, Albany, NY",144900 ,-73.8074895 ,42.6497976 
28,"80 Grand St Mansion Area, Albany, NY",100000 ,-73.7566863 ,42.6456574 
29,"610 Western Ave Buckingham Lake - Crestwood, Albany, NY",239000 ,-73.7967485 ,42.6677518 
31,"107 Alexander St South End, Albany, NY",12000 ,-73.7635392 ,42.6413490 
32,"40 Campus View Dr Albany, NY",389000 ,-73.7630960 ,42.7206530 
33,"37 Raymo St Delaware Avenue, Albany, NY",48500 ,-73.7755063 ,42.6406093 
34,"5 Bryn Mawr Ct Albany, NY",315000 ,-73.7525226 ,42.6741102 
35,"81 Walter St North Albany - Shaker Park, Albany, NY",149000 ,-73.7386618 ,42.6733806 
37,"352 State St #6A Center Square, Albany, NY",299000 ,-73.7646300 ,42.6557660 
38,"153 Van Rensselaer Blvd Albany, NY",257500 ,-73.7424257 ,42.6801772 
39,"229 Jay St Center Square, Albany, NY",220000 ,-73.7655100 ,42.6543127 
40,"134 Green St #2 Pastures, Albany, NY",30000 ,-71.1334775 ,42.4789113 
41,"17 Marshall St Delaware Avenue, Albany, NY",129900 ,-73.7795394 ,42.6401623 
42,"41 Melrose Ave Melrose, Albany, NY",163000 ,-73.7976531 ,42.6712421 
43,"32 Pine Ln #A Dunes, Albany, NY",95000 ,-89.9495669 ,37.7368032 
44,"71 Melrose Ave Melrose, Albany, NY",219900 ,-73.7987517 ,42.6722334 
45,"137 Woodlawn Ave Pine Hills, Albany, NY",189898 ,-73.7874876 ,42.6558529 
46,"59 Elizabeth St South End, Albany, NY",95000 ,-73.7617031 ,42.6405437 
48,"237 Hansen Ave Pine Hills, Albany, NY",209000 ,-73.7924068 ,42.6599684 
49,"4 Kent St Beverwyck, Albany, NY",84800 ,-73.7769275 ,42.6661819 
50,"5 Greyledge Dr Bishop's Gate, Albany, NY",424900 ,-73.7529120 ,42.6794067 
51,"56 Cheshire Way Albany, NY",374999 ,-73.7331650 ,42.7173210 
52,"77 Hurst Ave Buckingham Lake - Crestwood, Albany, NY",189900 ,-73.8117605 ,42.6558725 
53,"47 Huntleigh Dr Albany, NY",389000 ,-73.7817969 ,42.7220456 
55,"45 Clifford Rd Albany, NY",139500 ,-73.7250951 ,42.6965088 
56,"179 Benson St Beverwyck, Albany, NY",149900 ,-73.7822516 ,42.6688289 
57,"30 Marion Ave Buckingham Lake - Crestwood, Albany, NY",550000 ,-73.8004837 ,42.6652464 
59,"21 Marlborough Ct Whitehall, Albany, NY",149898 ,-73.8013906 ,42.6446133 
60,"37 Dove St Center Square, Albany, NY",259000 ,-73.7626146 ,42.6543503 
61,"904 Park Ave Pine Hills, Albany, NY",280000 ,-73.7934685 ,42.6631549 
62,"69 Summit Ave Delaware Avenue, Albany, NY",249900 ,-73.7822930 ,42.6425720 
63,"191 N Lake Ave West Hill, Albany, NY",89900 ,-73.7677630 ,42.6669770 
64,"4 Maple Ave New Scotland, Albany, NY",209900 ,-73.7845428 ,42.6534477 
65,"272 Orange St Sheridan Hollow, Albany, NY",75000 ,-73.7594428 ,42.6586181 
67,"3 Marsdale St Buckingham Lake - Crestwood, Albany, NY",212900 ,-73.8140523 ,42.6575527 
68,"10 Quail St West Hill, Albany, NY",74900 ,-73.7683400 ,42.6688371 
69,"423 Partridge St New Scotland, Albany, NY",179900 ,-73.7902771 ,42.6558003 
70,"263 Tampa Ave Buckingham Lake - Crestwood, Albany, NY",250000 ,-73.8173368 ,42.6619621 
71,"30 Tillinghast Ave Albany, NY",194900 ,-73.7258938 ,42.6942685 
72,"70 2nd St Arbor Hill, Albany, NY",100000 ,-73.7545516 ,42.6588979 
73,"437 3rd St West Hill, Albany, NY",20000 ,-73.7684167 ,42.6683940 
74,"523 Lark Dr Arbor Hill, Albany, NY",125000 ,-73.7515728 ,42.6640630 
75,"218 Jay St Center Square, Albany, NY",279900 ,-73.7654946 ,42.6539060 
76,"96 Whitehall Rd Delaware Avenue, Albany, NY",150000 ,-73.7883458 ,42.6413801 
77,"33 Colonial Grn Albany, NY",550000 ,-73.7481070 ,42.6972530 
78,"340 State St Center Square, Albany, NY",469000 ,-73.7639640 ,42.6554060 
79,"26 Benjamin St Krank Park - Cherry Hill, Albany, NY",51780 ,-73.7624960 ,42.6370970 
80,"11 Andriana Ln North Albany - Shaker Park, Albany, NY",274900 ,-73.7447946 ,42.6763257 
81,"40 Andriana Ln North Albany - Shaker Park, Albany, NY",289900 ,-73.7463052 ,42.6762118 
82,"2 1st St Ten Broeck Triangle, Albany, NY",279000 ,-73.7515790 ,42.6560569 
84,"2 Carlton Ter Albany, NY",382900 ,-73.7749896 ,42.7107328 
85,"14 Kim Dr Albany, NY",295000 ,-73.7746360 ,42.7162817 
86,"3 Kerry Ln Bishop's Gate, Albany, NY",199900 ,-73.7549451 ,42.6748855 
87,"219 S Main Ave New Scotland, Albany, NY",299900 ,-73.7973643 ,42.6570393 
88,"13 Andriana Ln North Albany - Shaker Park, Albany, NY",279900 ,-73.7448270 ,42.6763208 
89,"852 Myrtle Ave Pine Hills, Albany, NY",199900 ,-73.7914070 ,42.6630020 
90,"1013 New Scotland Rd Normanskill, Albany, NY",189900 ,-73.8292455 ,42.6516130 
91,"46 Pitch Pine Rd Dunes, Albany, NY",249900 ,-73.8686213 ,42.7027122 
92,"50 Wolfert Ave Albany, NY",225000 ,-73.7412216 ,42.6790106 
93,"21 Joy Dr Albany, NY",389000 ,-73.7745469 ,42.7148580 
94,"115 Delaware Ave Albany, NY",139000 ,-73.7708668 ,42.6467212 
95,"7 Park Ave Mansion Area, Albany, NY",85900 ,-73.7587502 ,42.6438510 
96,"164 Madison Ave #66 Mansion Area, Albany, NY",389000 ,-73.9838448 ,40.7469404 
97,"9 Kingston St Albany, NY",145000 ,-73.7378341 ,42.6807357 
98,"355 State St #4EF Central Avenue, Albany, NY",194900 ,-73.7644184 ,42.6562079 
99,"59 Rosemont St Melrose, Albany, NY",209900 ,-73.8024601 ,42.6737389 
100,"222 Hackett Blvd Whitehall, Albany, NY",231900 ,-73.7998469 ,42.6504004 
101,"21 Fletcher Rd Albany, NY",179900 ,-73.8801500 ,42.6929434 
102,"19 Oxford Pl Albany, NY",178500 ,-73.8713350 ,42.6938910 
103,"87 S Manning Blvd Pine Hills, Albany, NY",315000 ,-73.7976627 ,42.6648636 
104,"496 Washington Ave Pine Hills, Albany, NY",139900 ,-73.7745157 ,42.6629728 
105,"140 Cardinal Ave Whitehall, Albany, NY",375000 ,-73.8013672 ,42.6485703 
106,"10 Cadillac Ave Albany, NY",254900 ,-73.8637090 ,42.7456032 
108,"4 Buell St Upper Washington Avenue, Albany, NY",144900 ,-73.7965777 ,42.6768026 
109,"439 Manning Blvd Beverwyck, Albany, NY",210000 ,-73.7805247 ,42.6705215 
110,"4 Marwood St Whitehall, Albany, NY",190000 ,-73.7958376 ,42.6487242 
111,"226 Davis Ave Buckingham Lake - Crestwood, Albany, NY",174900 ,-73.8139850 ,42.6631219 
112,"101 Blockhouse Creek Ct Albany, NY",525000 ,-73.8854999 ,42.6896940 
113,"168 Lincoln Ave Upper Washington Avenue, Albany, NY",199900 ,-73.7948545 ,42.6772891 
114,"6 Friebel Rd Buckingham Lake - Crestwood, Albany, NY",170000 ,-73.8168881 ,42.6606677 
115,"68 Clermont St Melrose, Albany, NY",231074 ,-73.8020145 ,42.6734396 
116,"30 N Manning Blvd Albany, NY",65000 ,-73.7771143 ,42.6738796 
117,"306 S Main Ave Helderberg, Albany, NY",252000 ,-73.8010422 ,42.6528534 
118,"41 Trinity Pl Mansion Area, Albany, NY",139000 ,-73.7566280 ,42.6447780 
119,"448 Bradford St Albany, NY",18000 ,-73.7838977 ,42.6728269 
120,"343 State St Central Avenue, Albany, NY",569000 ,-73.7735818 ,42.6657137 
124,"27 Chateau Ct Albany, NY",209900 ,-73.7772329 ,42.6952351 
126,"12 Winchester Pl Albany, NY",389900 ,-73.7876425 ,42.7220609 
127,"19 Buchanan St Albany, NY",69900 ,-73.7874753 ,42.6724464 
129,"59 Governor Cir Buckingham Lake - Crestwood, Albany, NY",214000 ,-73.8161653 ,42.6539915 
130,"353 Lark St Park South, Albany, NY",161716 ,-73.7695050 ,42.6511250 
131,"35 S Main Ave Pine Hills, Albany, NY",239700 ,-73.7907720 ,42.6633010 
132,"390 Clinton Ave Sheridan Hollow, Albany, NY",125000 ,-73.7639351 ,42.6620480 
133,"469 State St Central Avenue, Albany, NY",699000 ,-73.7687280 ,42.6586319 
134,"246 Lark St Center Square, Albany, NY",749000 ,-73.7653112 ,42.6544762 
135,"7 Van Tassel Ct Albany, NY",439900 ,-73.7885872 ,42.7126849 
136,"5 Victor Dr Albany, NY",229900 ,-73.8657829 ,42.6951310 
137,"76-82 3rd Ave South End, Albany, NY",499900 ,-73.7622596 ,42.6399659 
138,"15 Highland Ct Albany, NY",234900 ,-73.8822753 ,42.7128220 
139,"102 Mount Hope Dr Mount Hope, Albany, NY",64072 ,-73.7674899 ,42.6320342 
140,"310 State St Center Square, Albany, NY",650000 ,-73.7628435 ,42.6548629 
141,"21 Homestead Ave Melrose, Albany, NY",217500 ,-73.7971120 ,42.6697510 
143,"76 Andriana Ln North Albany - Shaker Park, Albany, NY",324700 ,-73.7447416 ,42.6758016 
144,"131 Jefferson St Capitol Hill, Albany, NY",199900 ,-73.7642188 ,42.6499432 
146,"734 S Pearl St Albany, NY",69900 ,-73.7681566 ,42.6270753 
147,"270 Osborne Rd Albany, NY",174900 ,-73.7723045 ,42.7067257 
148,"6 Grandview Ter Second Avenue, Albany, NY",85000 ,-73.7676800 ,42.6396419 
149,"4 Fairlawn Ave Melrose, Albany, NY",219999 ,-73.8006316 ,42.6698902 
152,"5 Fullerton St Delaware Avenue, Albany, NY",154900 ,-73.7900220 ,42.6431246 
153,"699 State St Pine Hills, Albany, NY",239900 ,-73.7772879 ,42.6635794 
156,"9 Andriana Ln North Albany - Shaker Park, Albany, NY",279900 ,-73.7447301 ,42.6763285 
157,"9 Justin St Albany, NY",414800 ,-73.7087630 ,42.6620930 
158,"11 Justin St Albany, NY",389800 ,-73.7090000 ,42.6618780 
159,"18 Williams Park Rd Albany, NY",264500 ,-73.7816464 ,42.7170852 
160,"633-637 2nd St West Hill, Albany, NY",98800 ,-73.7763070 ,42.6719850 
161,"25 Eduardo Ct Albany, NY",439900 ,-73.8373457 ,42.6666658 
163,"87 N Manning Blvd West Hill, Albany, NY",67764 ,-73.7744683 ,42.6726523 
164,"4 Judson St West Hill, Albany, NY",46050 ,-73.7663369 ,42.6642530 
165,"21 Greyledge Dr Bishop's Gate, Albany, NY",434900 ,-73.7549387 ,42.6780361 
166,"44 Andriana Ln North Albany - Shaker Park, Albany, NY",299900 ,-73.7465262 ,42.6759939 
167,"4 Avon Ct Buckingham Lake - Crestwood, Albany, NY",166765 ,-73.8191177 ,42.6598311 
168,"38 Andriana Ln North Albany - Shaker Park, Albany, NY",299900 ,-73.7462029 ,42.6762379 
172,"23 Victoria Way Whitehall, Albany, NY",239900 ,-73.8054230 ,42.6454790 
173,"50 Meadow Ln Normanskill, Albany, NY",189900 ,-73.8379729 ,42.6426874 
174,"6 Tioga Ter Normanskill, Albany, NY",205000 ,-73.8414917 ,42.6442724 
175,"10 Zuni St Normanskill, Albany, NY",34500 ,-73.8245309 ,42.6540990 
176,"194 Delaware Ave #196 Delaware Avenue, Albany, NY",30000 ,-73.6002229 ,40.6678798 
177,"13 Danker Ave Upper Washington Avenue, Albany, NY",242900 ,-73.7939334 ,42.6761855 
178,"73 Woodside Dr Albany, NY",209900 ,-73.8350570 ,42.6533770 
180,"583 Washington Ave Beverwyck, Albany, NY",159900 ,-73.7787746 ,42.6660042 
181,"5 Schuyler Meadows Club Rd Albany, NY",1795000 ,-73.7432061 ,42.7165935 
183,"543 Loudon Rd Albany, NY",679000 ,-73.7554010 ,42.7210520 
185,"12 Bryn Mawr Ct Bishop's Gate, Albany, NY",439900 ,-73.7527690 ,42.6735610 
186,"16 Friar Tuck Rd Albany, NY",287500 ,-73.8774511 ,42.7005607 
187,"12 Central Ave Central Avenue, Albany, NY",274500 ,-73.7637263 ,42.6574263 
188,"17 Prospect Ave Albany, NY",279000 ,-73.7734695 ,42.6740970 
189,"109 Central Ave Central Avenue, Albany, NY",198000 ,-73.7666073 ,42.6599676 
190,"5 Wood Plot Rd Albany, NY",1049500 ,-73.7698310 ,42.7249089 
191,"2 Highfield Ln #A Normanskill, Albany, NY",369900 ,-73.8349120 ,42.6483270 
192,"543 Morris St Pine Hills, Albany, NY",159950 ,-73.7856815 ,42.6611394 
194,"56 Catherine St South End, Albany, NY",25473 ,-73.7612109 ,42.6420444 
195,"160 Shaker Rd Bishop's Gate, Albany, NY",234315 ,-73.7555873 ,42.6760711 
196,"30 Grant Ave Albany, NY",63014 ,-73.7835200 ,42.6762180 
197,"29 Ramsey Pl Helderberg, Albany, NY",148890 ,-73.7929143 ,42.6515518 
198,"17 Chapel St Sheridan Hollow, Albany, NY",449900 ,-73.7513648 ,42.6539202 
199,"23 Slingerland St Second Avenue, Albany, NY",69000 ,-73.7714612 ,42.6403340 
200,"17 Oakwood St New Scotland, Albany, NY",180509 ,-73.7964342 ,42.6560935 
201,"110 Fairlawn Ave Melrose, Albany, NY",269900 ,-73.7974135 ,42.6729981 
202,"48 Grant Ave Albany, NY",89424 ,-73.7832114 ,42.6766739 
203,"9 Marvill Dr Albany, NY",307112 ,-73.7828887 ,42.7181011 
204,"43 Lindbergh Ave #A North Albany - Shaker Park, Albany, NY",176072 ,-73.7393612 ,42.6779567 
