ID,name,price,lon,lat
1,"13 Tremont Ave Binghamton, NY",65000 ,-75.9095196 ,42.0914224 
2,"21 N Depot St #3W Binghamton, NY",179000 ,-75.9091310 ,42.1043570 
3,"46 Country Knoll Dr Binghamton, NY",324900 ,-75.8427540 ,42.1812770 
4,"857 Chenango St Binghamton, NY",19900 ,-75.8926005 ,42.1430417 
5,"109 Oak St Binghamton, NY",185000 ,-75.9202508 ,42.0987830 
6,"21 Beethoven St Binghamton, NY",159900 ,-75.9348483 ,42.0944590 
7,"31 Elm St Binghamton, NY",54900 ,-75.9194965 ,42.1082946 
8,"7 Stratford Pl Binghamton, NY",254900 ,-75.9329420 ,42.0896408 
9,"30 Park St Binghamton, NY",99900 ,-75.9449542 ,42.1052172 
10,"34 Grace St Binghamton, NY",39681 ,-75.9288052 ,42.1084886 
11,"136 Laurel Ave Binghamton, NY",110000 ,-75.9313007 ,42.1021037 
12,"27 James St Binghamton, NY",68000 ,-75.9095850 ,42.0859295 
13,"7 Duane Ave Binghamton, NY",99900 ,-75.9091007 ,42.0872337 
14,"71 Daniel Dr Binghamton, NY",250000 ,-75.8652520 ,42.2074760 
15,"45 Broome St Binghamton, NY",65000 ,-75.8936591 ,42.0980247 
16,"8 Woodruff Ave Binghamton, NY",88900 ,-75.8967796 ,42.1231856 
17,"3144 Hickory Ln Binghamton, NY",314900 ,-75.9328787 ,42.0768375 
18,"54 Broad Ave Binghamton, NY",69900 ,-75.8886305 ,42.1091132 
19,"560 Powers Rd Binghamton, NY",29900 ,-75.8507763 ,42.0654425 
20,"3 Smith Ave Binghamton, NY",19900 ,-75.8924943 ,42.1198458 
21,"48 Rush Ave Binghamton, NY",30000 ,-75.9184742 ,42.0862579 
22,"61 Elm St Binghamton, NY",16900 ,-75.9247355 ,42.1079602 
23,"10 Medford St Binghamton, NY",35000 ,-75.8812458 ,42.0978955 
24,"52 Griswold St Binghamton, NY",39000 ,-75.8924494 ,42.1091017 
25,"17 Way St Binghamton, NY",35000 ,-75.9076694 ,42.1049642 
26,"30-32 2nd St Binghamton, NY",32500 ,-75.8945920 ,42.0939849 
27,"32 Winding Way Binghamton, NY",30000 ,-75.9160302 ,42.1068699 
29,"44 Schubert St Binghamton, NY",80000 ,-75.9352481 ,42.1023702 
30,"19 Tudor St Binghamton, NY",42500 ,-75.9050824 ,42.0961306 
31,"14 High St Binghamton, NY",19900 ,-75.9055507 ,42.0918713 
32,"5 Orton Ave Binghamton, NY",53000 ,-75.9381416 ,42.1015719 
