ID,name,price,lon,lat
1,"81 Hagen St Schiller Park, Buffalo, NY",59900,-78.8076569,42.9172442
2,"615 Englewood Ave Buffalo, NY",154300,-78.8419377,42.9637968
3,"329 Hampshire St Grant Ferry, Buffalo, NY",239000,-78.889799,42.9138869
4,"44 Blantyre Rd North Park, Buffalo, NY",239900,-78.845347,42.9537659
5,"3697 Blair Ct Buffalo, NY",119900,-78.8168858,42.783946
6,"171 Stockbridge Ave LaSalle, Buffalo, NY",39900,-78.8197725,42.9414242
7,"17 Wilkes Ave Kenfield, Buffalo, NY",34900,-78.8043281,42.9232985
8,"75 Edison Ave Kenfield, Buffalo, NY",29900,-78.8019249,42.9249242
9,"166 Dodge St Masten Park, Buffalo, NY",56000,-78.8614585,42.9059623
10,"320 Sherman St Johnson, Buffalo, NY",24900,-78.8472631,42.8923879
11,"687 Eggert Rd Kensington, Buffalo, NY",62284,-78.80306,42.947002
12,"282 Saranac Ave North Park, Buffalo, NY",149900,-78.8575602,42.9536699
13,"370 Colvin Ave North Park, Buffalo, NY",149900,-78.859356,42.9509661
14,"77 Aspinwood Pl Buffalo, NY",175000,-78.8498645,42.9788611
15,"852 Delaware Rd Buffalo, NY",182900,-78.8710872,42.9846528
16,"69 Avery Pl Buffalo, NY",69900,-78.797939,42.916818
17,"36 Clemo St Babcock, Buffalo, NY",28497,-78.8336578,42.8785001
18,"125 Helen Ave Buffalo, NY",114900,-78.829978,42.795144
19,"1010 E Lovejoy St Lovejoy, Buffalo, NY",59900,-78.8110339,42.8899776
20,"22 Viola Park Hamlin Park, Buffalo, NY",79900,-78.846068,42.921385
21,"959 West Ave Grant Ferry, Buffalo, NY",119000,-78.896814,42.916319
22,"52 Fredro St Kaisertown, Buffalo, NY",35000,-78.8108329,42.8691987
23,"44 Carpenter Ave Buffalo, NY",129900,-78.8338076,42.9790476
24,"381 Marilla St South Park, Buffalo, NY",145000,-78.826076,42.8370879
25,"49 Parkridge Ave LaSalle, Buffalo, NY",4900,-78.8213642,42.9362241
26,"137 Pawnee Pkwy Seneca, Buffalo, NY",70000,-78.811623,42.8628188
27,"150 Victoria Ave Leroy, Buffalo, NY",79500,-78.8336279,42.9354411
28,"28 Domedion Ave Schiller Park, Buffalo, NY",46900,-78.8019568,42.9144248
29,"42 Castle Pl Leroy, Buffalo, NY",45000,-78.8316406,42.9320007
30,"929 Hertel Ave North Delaware, Buffalo, NY",120000,-78.873864,42.947539
31,"63 Bardol St MLK Park, Buffalo, NY",39000,-78.8333351,42.9058733
32,"347 Greene St Lovejoy, Buffalo, NY",39900,-78.8092798,42.8943816
33,"187 Heath St University, Buffalo, NY",99888,-78.8305473,42.9553065
34,"49 Hobmoor Ave North Park, Buffalo, NY",149900,-78.8539798,42.9575923
35,"502 High St Medical Park, Buffalo, NY",69900,-78.8500271,42.9003567
36,"207 Vermont St Front Park, Buffalo, NY",20000,-78.8906422,42.9064613
37,"732 Montrose Ave Buffalo, NY",82900,-78.8290279,42.9734433
38,"1198 Center Rd Buffalo, NY",115000,-78.738303,42.840102
39,"519 Woodlawn Ave Kingsley, Buffalo, NY",29900,-78.845569,42.913588
40,"1342 Clinton St Babcock, Buffalo, NY",38900,-78.8260658,42.8745822
41,"303 Darlington Dr Buffalo, NY",89900,-78.8404905,42.9713033
42,"149 Arkansas St Grant Ferry, Buffalo, NY",49900,-78.8918031,42.9139743
43,"2 Melody Ln Buffalo, NY",39900,-78.8355026,42.9817522
44,"245 Watson St Emslie, Buffalo, NY",7500,-78.8496481,42.8866653
45,"26 Dewitt St Grant Ferry, Buffalo, NY",44900,-78.8961661,42.9177142
46,"210 Center St Buffalo, NY",79000,-78.831929,42.819991
47,"223 Wyoming Ave Genesee Moselle, Buffalo, NY",35000,-78.8234844,42.9207033
48,"102 Howell St Black Rock, Buffalo, NY",59900,-78.88745,42.940328
49,"234 Riley St Masten Park, Buffalo, NY",10000,-78.85765,42.909631
50,"38 Flower St University, Buffalo, NY",129500,-78.8300152,42.9522662
51,"231 Richmond Ave #11 Bryant, Buffalo, NY",257777,-78.8816631,42.9087035
52,"67 Moeller St Schiller Park, Buffalo, NY",47500,-78.811141,42.910352
53,"944 West Ave Grant Ferry, Buffalo, NY",79900,-78.8976719,42.9159361
54,"20 Lester St Babcock, Buffalo, NY",59000,-78.8290404,42.8692034
55,"126 Auburn Ave Grant Ferry, Buffalo, NY",69000,-78.8959859,42.9186561
