"Name" "price" "lon" "lat"
"1" "112 Carmel RdStarin Central, Buffalo, NY" "$189,900" -78.8380054 42.9507236
"2" "519 Woodlawn AveKingsley, Buffalo, NY" "$29,900" -78.845569 42.913588
"3" "1059 Parker BlvdKenilworth, Buffalo, NY" "$138,900" -78.838003 42.9663093
"4" "178 Albany StGrant Ferry, Buffalo, NY" "$154,900" -78.8950498 42.9130157
"5" "337 Crowley AveRiverside Park, Buffalo, NY" "$59,000" NA NA
"6" "103 Parkside CirBuffalo, NY" "$30,000" -78.8516791 42.9326273
"7" "418 Dearborn StBlack Rock, Buffalo, NY" "$49,900" -78.9043839 42.9403369
"8" "70 Harmonia StBroadway - Fillmore, Buffalo, NY" "$9,000" -78.8309857 42.902329
"9" "19 Nottingham TerPark Meadow, Buffalo, NY" "$1,045,000" NA NA
"10" "234 Riley StMasten Park, Buffalo, NY" "$10,000" -78.85765 42.909631
"11" "3473 S Park Ave #A18Buffalo, NY" "$11,900" -78.82527 42.805278
"12" "149 Arkansas StGrant Ferry, Buffalo, NY" "$49,900" NA NA
"13" "230 Potomac AveForest, Buffalo, NY" "$58,800" NA NA
"14" "388 Bristol StBabcock, Buffalo, NY" "$39,900" -78.8420293 42.8808809
"15" "127 Hayden StCazenovia Park, Buffalo, NY" "$39,000" NA NA
"16" "145 Heath StUniversity, Buffalo, NY" "$77,826" -78.8291647 42.9547222
"17" "1198 Center RdBuffalo, NY" "$115,000" -78.738303 42.840102
"18" "2 Melody LnBuffalo, NY" "$41,900" -78.8355026 42.9817522
"19" "194 Person St #2Emerson, Buffalo, NY" "$36,000" -78.8761995 35.0518798
"20" "440 Niagara Falls BlvdKenilworth, Buffalo, NY" "$5,500" -78.823867 42.966022
"21" "75 Harlem RdBuffalo, NY" "$45,356" -78.789311 42.844942
"22" "102 Howell StBlack Rock, Buffalo, NY" "$59,900" -78.88745 42.940328
"23" "760 Auburn AveDelaware-West Ferry, Buffalo, NY" "$469,000" NA NA
"24" "860 William StBroadway - Fillmore, Buffalo, NY" "$79,000" NA NA
"25" "245 Watson StEmslie, Buffalo, NY" "$7,500" -78.8496481 42.8866653
"26" "80 Townsend StBroadway - Fillmore, Buffalo, NY" "$35,000" NA NA
"27" "1342 Clinton StBabcock, Buffalo, NY" "$38,900" -78.8260658 42.8745822
"28" "546 Richmond AveGrant Ferry, Buffalo, NY" "$369,000" -78.8823784 42.9172381
"29" "584 Potomac AveForest, Buffalo, NY" "$450,000" -78.8776375 42.9243918
"30" "148 Grandview AveKenilworth, Buffalo, NY" "$110,000" -78.8250712 42.9624731
"31" "944 West AveGrant Ferry, Buffalo, NY" "$79,900" -78.8976719 42.9159361
"32" "712 Hopkins StTifft, Buffalo, NY" "$79,999" -78.832492 42.8570588
"33" "480 7th StFront Park, Buffalo, NY" "$109,000" -78.8909835 42.8978817
"34" "1340 Maple Rd #8Buffalo, NY" "$99,900" NA NA
"35" "363 Rhode Island StFront Park, Buffalo, NY" "$71,500" NA NA
"36" "29 Lewis StBabcock, Buffalo, NY" "$49,900" -78.8342277 42.8785061
"37" "35 Pine Ridge RdBuffalo, NY" "$101,289" -78.7960903 42.9080591
"38" "133 Burch AveBuffalo, NY" "$35,095" -78.7494047 43.0056266
"39" "106 Morris AveStarin Central, Buffalo, NY" "$77,390" -78.84216 42.94298
"40" "720 West AveFront Park, Buffalo, NY" "$250,000" NA NA
"41" "223 Wyoming AveGenesee Moselle, Buffalo, NY" "$35,000" NA NA
"42" "188 Hodge AveBryant, Buffalo, NY" "$269,900" NA NA
"43" "276 Dewitt StForest, Buffalo, NY" "$69,900" NA NA
"44" "82 Hodge AveBryant, Buffalo, NY" "$384,900" -78.873906 42.909643
"45" "418 Goodyear AveGenesee Moselle, Buffalo, NY" "$39,900" -78.8224403 42.9075221
"46" "103 Guernsey StBlack Rock, Buffalo, NY" "$27,691" -78.90201 42.941564
"47" "25 Theodore StSchiller Park, Buffalo, NY" "$59,900" NA NA
"48" "160 Fox StBroadway - Fillmore, Buffalo, NY" "$19,900" -78.8460535 42.8960502
"49" "81 Hagen StSchiller Park, Buffalo, NY" "$59,900" -78.8076569 42.9172442
"50" "624 Niagara Falls BlvdBuffalo, NY" "$118,500" -78.823773 42.970574
"51" "44 Montrose AveUniversity, Buffalo, NY" "$160,000" NA NA
"52" "197 Locust StMedical Park, Buffalo, NY" "$60,000" -78.8600307 42.8991277
"53" "134 Congress StGrant Ferry, Buffalo, NY" "$169,000" NA NA
"54" "316 W Utica StBryant, Buffalo, NY" "$325,000" NA NA
"55" "246 Sherman StEmslie, Buffalo, NY" "$29,900" -78.8471102 42.8901143
"56" "215 Greene StLovejoy, Buffalo, NY" "$39,900" -78.8093415 42.8908005
"57" "26 Dewitt StGrant Ferry, Buffalo, NY" "$44,900" -78.8961661 42.9177142
"58" "431 Humboldt PkwyHamlin Park, Buffalo, NY" "$59,431" NA NA
"59" "77 Krettner StEmslie, Buffalo, NY" "$54,000" -78.847716 42.8855228
"60" "12 Krupp AveLovejoy, Buffalo, NY" "$40,000" NA NA
"61" "333 Potomac AveForest, Buffalo, NY" "$189,900" NA NA
"62" "1055 Parker BlvdKenilworth, Buffalo, NY" "$64,354" NA NA
"63" "706 Hopkins StTifft, Buffalo, NY" "$69,900" -78.8324984 42.8569047
"64" "142 Scoville AveBabcock, Buffalo, NY" "$55,000" NA NA
"65" "837 Starin AveWilton Argonne, Buffalo, NY" "$134,900" NA NA
"66" "347 Traverse BlvdBuffalo, NY" "$131,861" -78.8596175 42.9837826
"67" "34 Richmond AveFront Park, Buffalo, NY" "$334,999" NA NA
