ID,name,price,lon,lat
2,"120 Post Ave 19th Ward, Rochester, NY",19500 ,-77.6477423 ,43.1437845 
3,"14 Bittersweet Dr Rochester, NY",5000 ,-77.5155301 ,43.1274030 
5,"201 Rosewood Ter #2 Beechwood, Rochester, NY",44900 ,-77.5694180 ,43.1678880 
6,"911 Spencerport Rd Rochester, NY",129900 ,-77.7141088 ,43.1718463 
7,"323 Saxton St Rochester, NY",20000 ,-77.6325066 ,43.1607005 
8,"1194 Hinchey Rd Rochester, NY",119500 ,-77.7038290 ,43.1404900 
9,"65 Fairhill Dr Rochester, NY",189900 ,-77.5700070 ,43.1146664 
11,"188 Whitney St Rochester, NY",14900 ,-77.6365202 ,43.1602496 
12,"256 Glide St United Neighbors Together, Rochester, NY",29000 ,-77.6538162 ,43.1565058 
14,"3995 Lake Ave Charlotte, Rochester, NY",84000 ,-77.6191899 ,43.2433700 
16,"30 Saddleback Trl Rochester, NY",159900 ,-77.7345287 ,43.1200430 
17,"2599 Oakview Dr Rochester, NY",169900 ,-77.5864050 ,43.2166270 
18,"97 Kingston St Beechwood, Rochester, NY",49900 ,-77.5677220 ,43.1620870 
19,"471 Pardee Rd Rochester, NY",189000 ,-77.5532728 ,43.1880564 
20,"658 Smith St Rochester, NY",20000 ,-77.6321249 ,43.1607901 
23,"907 Tait Ave Rochester, NY",108900 ,-77.6504345 ,43.2422198 
25,"118 Cabot Rd Rochester, NY",104900 ,-77.6815223 ,43.2101262 
26,"227 Adams St Mayor's Heights, Rochester, NY",37000 ,-77.6238958 ,43.1486385 
27,"51 Shrubbery Ln Rochester, NY",35000 ,-77.7577680 ,43.1025610 
28,"654 N Goodman St Beechwood, Rochester, NY",280000 ,-77.5810273 ,43.1660670 
29,"232 Summit Hill Dr Rochester, NY",150000 ,-77.6537122 ,43.2577487 
33,"60 Seascape Dr Charlotte, Rochester, NY",209900 ,-77.6230090 ,43.2663690 
35,"333 Panorama Trl Rochester, NY",150000 ,-77.4967961 ,43.1419097 
36,"11 Alfred Ave Rochester, NY",104900 ,-77.6848720 ,43.0891440 
37,"25 Clover Hills Dr Rochester, NY",315000 ,-77.5481431 ,43.1074930 
40,"37 Dolman Dr Rochester, NY",154900 ,-77.6762486 ,43.1440203 
43,"300 Willow Creek Ln Rochester, NY",209900 ,-77.5676340 ,43.2174500 
44,"94 Westminster Rd East Avenue, Rochester, NY",350000 ,-77.5820312 ,43.1496962 
45,"130 Holworthy St United Neighbors Together, Rochester, NY",30000 ,-77.6532358 ,43.1607866 
47,"22 Myrtle St Lyell-Otis, Rochester, NY",24900 ,-77.6410781 ,43.1651627 
48,"2200 Highland Ave Cobbs Hill, Rochester, NY",199900 ,-77.5549378 ,43.1372625 
49,"349 Pemberton Rd Rochester, NY",94900 ,-77.5526460 ,43.2141329 
50,"129 6th St North Marketview Heights, Rochester, NY",39900 ,-77.5827149 ,43.1691952 
51,"1562 Chili Ave Rochester, NY",109900 ,-77.6771238 ,43.1365588 
52,"49 Shrubbery Ln Rochester, NY",32000 ,-77.7574290 ,43.1027230 
53,"10 Glenn Abbey Cir #Pvt Rochester, NY",129900 ,-77.6287610 ,43.2597620 
54,"7 Valencia Dr Rochester, NY",99900 ,-77.6914138 ,43.1769766 
55,"116 Cinnabar Rd Rochester, NY",109900 ,-77.5954370 ,43.2427160 
58,"148 Culver Pkwy Rochester, NY",130900 ,-77.5557199 ,43.1717700 
59,"58 Webster Ave Beechwood, Rochester, NY",49000 ,-77.5812876 ,43.1642382 
60,"28 Florida Ave Rochester, NY",100000 ,-77.6380098 ,43.2186348 
61,"1400 East Ave #301 East Avenue, Rochester, NY",85900 ,-77.5666342 ,43.1489241 
63,"158 Palm St Maplewood, Rochester, NY",25000 ,-77.6381280 ,43.1975530 
64,"38 Cheltenham Rd Charlotte, Rochester, NY",50000 ,-77.6268320 ,43.2216718 
65,"1133 Long Pond Rd Rochester, NY",85000 ,-77.6972063 ,43.2186007 
