ID,name,price,lon,lat
1,"230 E Manchester Rd Syracuse, NY",168800 ,-76.2073362 ,43.0448916 
2,"105 Stasko Dr Syracuse, NY",109000 ,-76.2407939 ,43.0896000 
3,"603 Dakin St Eastside, Syracuse, NY",67000 ,-76.1094252 ,43.0508790 
4,"742 N Alvord St Northside, Syracuse, NY",52000 ,-76.1547709 ,43.0658528 
5,"113 Eloise Ter Southside, Syracuse, NY",59900 ,-76.1634585 ,43.0258415 
6,"1437 Burnet Ave Eastwood, Syracuse, NY",30000 ,-76.1180495 ,43.0555467 
7,"310 Turtle St Northside, Syracuse, NY",35000 ,-76.1600798 ,43.0683100 
8,"504 Bear St Northside, Syracuse, NY",6900 ,-76.1599381 ,43.0711389 
9,"5319 Bear Rd Syracuse, NY",60000 ,-76.1503210 ,43.1442220 
10,"714 Montrose Ave Syracuse, NY",85000 ,-76.1967361 ,43.0408845 
11,"214 Mary St Northside, Syracuse, NY",9900 ,-76.1482223 ,43.0655498 
12,"209 Merriman Ave #11 Westside, Syracuse, NY",45000 ,-90.7910352 ,35.2238617 
13,"121 Hudson St Southside, Syracuse, NY",30700 ,-76.1598728 ,43.0353102 
14,"108 Rockland Ave Southside, Syracuse, NY",5000 ,-76.1559582 ,43.0241830 
15,"402 Bishop Ave Southside, Syracuse, NY",18000 ,-76.1582031 ,43.0188876 
16,"2300 Burnet Ave Eastwood, Syracuse, NY",30000 ,-76.1039450 ,43.0583588 
17,"325 Barrington Rd Eastside, Syracuse, NY",274900 ,-76.0827900 ,43.0418258 
18,"316 Male Ave Syracuse, NY",119900 ,-76.2497840 ,43.0506800 
19,"120 Woods Ave S Lyncourt, Syracuse, NY",38000 ,-76.1173195 ,43.0749320 
20,"323 Deforest Rd Eastside, Syracuse, NY",169000 ,-76.0925703 ,43.0413441 
21,"133 Monticello Dr S Valley, Syracuse, NY",70000 ,-76.1384737 ,42.9991698 
22,"111 Brantford Path Syracuse, NY",285000 ,-76.2318431 ,43.0385754 
23,"714 Onondaga Ave Southside, Syracuse, NY",9900 ,-76.1623790 ,43.0261955 
24,"130 E Brighton Ave #32 Southside, Syracuse, NY",6900 ,-76.1401676 ,43.0199590 
25,"202 North Ave Eastwood, Syracuse, NY",89000 ,-76.1133156 ,43.0700646 
26,"405 Richfield Blvd Syracuse, NY",63000 ,-76.1567120 ,43.0948650 
27,"111 S Carbon St Northside, Syracuse, NY",59900 ,-76.1425840 ,43.0642780 
28,"119 Shore Ave Syracuse, NY",89900 ,-76.2450444 ,43.0982412 
29,"305 Kensington Pl Eastside, Syracuse, NY",139900 ,-76.1192685 ,43.0276422 
30,"311 Putnam St Westside, Syracuse, NY",5000 ,-76.1727309 ,43.0366082 
31,"115 Pardee Ave Syracuse, NY",59900 ,-76.1907956 ,43.0379560 
32,"401 Center St Syracuse, NY",76595 ,-76.2203560 ,43.0593790 
33,"221 Herriman St Westside, Syracuse, NY",42900 ,-76.1768440 ,43.0372189 
34,"216 Cherry Rd Syracuse, NY",299900 ,-76.2120810 ,43.0435720 
35,"721-723 Wadsworth St #23 Northside, Syracuse, NY",74900 ,-76.1397055 ,43.0773368 
36,"151 Dale St Northside, Syracuse, NY",110000 ,-76.1441798 ,43.0759729 
37,"512 Mosley Dr Eastwood, Syracuse, NY",69900 ,-76.1007937 ,43.0604201 
38,"103 Abell Ave Syracuse, NY",65255 ,-76.2230110 ,43.0608990 
39,"446 Ellis St Eastside, Syracuse, NY",47000 ,-76.1137566 ,43.0458360 
40,"4104 Young Rd Syracuse, NY",69900 ,-76.2063861 ,42.9701337 
41,"2313 E Fayette St Eastside, Syracuse, NY",49900 ,-76.1111996 ,43.0484119 
42,"311 Charles Ave Syracuse, NY",79900 ,-76.1998980 ,43.0553040 
43,"807 Cogswell Ave Syracuse, NY",34900 ,-76.2180420 ,43.0564600 
44,"4638 Broad Rd Syracuse, NY",149000 ,-76.1680152 ,42.9967459 
45,"211 Rutledge St Syracuse, NY",109900 ,-76.2260579 ,43.0317551 
46,"612 N McBride St Northside, Syracuse, NY",32500 ,-76.1460590 ,43.0566475 
47,"406 Center St Syracuse, NY",84900 ,-76.2207851 ,43.0589206 
48,"5247 Jamesville Rd Syracuse, NY",132000 ,-76.0727092 ,43.0251579 
49,"148 Redfield Pl Eastside, Syracuse, NY",144000 ,-76.1212108 ,43.0374089 
50,"129 Gorland Ave #31 Eastside, Syracuse, NY",59900 ,-76.1011888 ,43.0449394 
51,"137 Culbert St Northside, Syracuse, NY",19500 ,-76.1502304 ,43.0720581 
52,"703 Valley Dr Valley, Syracuse, NY",24900 ,-76.1565692 ,43.0100775 
53,"424 Maple St Eastside, Syracuse, NY",115000 ,-76.1257071 ,43.0462023 
54,"913 Butternut St Northside, Syracuse, NY",59900 ,-76.1439324 ,43.0633856 
55,"200 200 02 Marcellus St W Westside, Syracuse, NY",16900 ,-76.1747133 ,43.0444585 
56,"169 Milnor Ave Eastside, Syracuse, NY",87500 ,-76.1008886 ,43.0476796 
57,"414 Tower Ave Lyncourt, Syracuse, NY",59900 ,-76.1194521 ,43.0805604 
58,"710 Hickory St Northside, Syracuse, NY",79900 ,-76.1436261 ,43.0567800 
59,"336 Loomis Ave Valley, Syracuse, NY",19900 ,-76.1538068 ,43.0074227 
60,"485 Audubon Pkwy Eastside, Syracuse, NY",104840 ,-76.0948460 ,43.0514439 
61,"519 Schuyler St Westside, Syracuse, NY",14000 ,-76.1888952 ,43.0483894 
62,"849 South Ave Southside, Syracuse, NY",29900 ,-76.1578590 ,43.0291410 
63,"140 Paul Ave Eastwood, Syracuse, NY",61995 ,-76.1200771 ,43.0688964 
64,"139 John St Northside, Syracuse, NY",58000 ,-76.1483438 ,43.0630235 
65,"433 Shonnard St Westside, Syracuse, NY",16900 ,-76.1687332 ,43.0409521 
66,"5011 Horizon Ter Syracuse, NY",325000 ,-76.1696303 ,42.9811792 
67,"110 Dewitt Rd Eastside, Syracuse, NY",229900 ,-76.0834339 ,43.0392677 
68,"117 Culbert St Northside, Syracuse, NY",43000 ,-76.1508399 ,43.0712796 
69,"236 Fellows Ave #38 Eastside, Syracuse, NY",189900 ,-76.1153801 ,43.0405918 
70,"123 Malden Rd Syracuse, NY",35500 ,-76.1423800 ,43.1047080 
71,"341 Marlborough Rd Eastwood, Syracuse, NY",52900 ,-76.1124414 ,43.0728707 
72,"1628 Hawley Ave Eastwood, Syracuse, NY",45000 ,-76.1202981 ,43.0554944 
73,"309 Horan Rd Syracuse, NY",107500 ,-76.2347403 ,43.0659069 
74,"252 Clover Ridge Dr Eastwood, Syracuse, NY",44900 ,-76.0933126 ,43.0654113 
75,"170 Clyde Ave #72 Southside, Syracuse, NY",40500 ,-81.3241970 ,28.7337678 
76,"200 Beley Ave Syracuse, NY",95000 ,-76.1416980 ,43.1001620 
